title,poster_url,trailer_url
Фуриоса: Хроники Безумного Макса,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/2/4/8/8362842/354704004670.jpg,https://www.kinoafisha.info/trailers/48b5f19f2ce10817892115088100f813/
Аватар 2: Путь воды,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/7/7/8/8103877/988276297399.jpg,https://www.kinoafisha.info/trailers/536daf845a529e88c2b5d01f1b6fbc0e/
Богемская рапсодия,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/0/0/8/8329800/77ffa967529e0dc5d220803498c48a4e.jpeg,https://www.kinoafisha.info/trailers/7c89b8e17086d2252432aa1cc8186ae6/
Зверополис,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/6/4/1/8170146/44b6272abe836d9932807f0c753ca771.jpg,https://www.kinoafisha.info/trailers/8decee62e200c95a678d4af6dd1e3363/
Переводчик,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/4/4/6/8365644/241494917049.jpg,https://www.kinoafisha.info/trailers/75d33f9e47304d8032a5dda7e0db13f7/
Тор: Рагнарёк,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/2/5/4/8170452/37ec2ca1a3f5e9c18316a0e934a02ef6.jpeg,https://www.kinoafisha.info/trailers/5384d3fe7d6fc9f5d7d7a827a536399d/
Игра,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/8/9/4/8099498/a39e2f22c375721f74d71dd068b9435a.jpg,
Реквием по мечте,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/8/4/1/330148/e17d4c66b7ae5650a67752d85b8119bf.jpeg,https://www.kinoafisha.info/trailers/4631662441ab1e14f78606c2b58b0a26/
Красавица и чудовище,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/7/3/3/5388337/59b1bf405bf80e52dd290eddbc940d90.jpeg,https://www.kinoafisha.info/trailers/0fb4fcbde73427f2de24e0571580c0ac/
Схватка,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/9/8/5/3949589/636e657b316e3349cf7189da0db50880.jpeg,https://www.kinoafisha.info/trailers/e8f7f6f519ba4c24b34ac781bdb8fb43/
Рататуй,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/1/0/8/1102801/04d37be09e93aa3d6027f0ef2485bc60.jpg,https://www.kinoafisha.info/trailers/b7dd171c8da2a6861e0aa5ac085951f4/
Отец,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/9/9/9/8356999/2971663849995e330c0a8b92197d0aab.jpg,https://www.kinoafisha.info/trailers/79a153fbe8d14862648442080707bcdf/
Достучаться до небес,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/9/9/8/7275899/777275687591.jpg,https://www.kinoafisha.info/trailers/cac258dd73e6aa14b9d5523b9a7b9554/
